,titles,images,ratings,prices
64,"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 14"" (35.5cm) FHD 250 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 2021/Alexa built-in/3 month Game Pass/Grey/1.37Kg), 83EQ005VIN",https://m.media-amazon.com/images/I/81fvJauBWDL._AC_UY218_.jpg,4.1 out of 5 stars,"₹53,990"
65,"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.6"" (39.6cm) FHD 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 21/1Yr ADP Free/Alexa/3 Month Game Pass/Grey/1.62Kg), 83EM0026IN",https://m.media-amazon.com/images/I/81Y0y+GFEDL._AC_UY218_.jpg,4.1 out of 5 stars,"₹58,750"
66,"Dell 15 Thin & Light Laptop, AMD Ryzen R5-7520U Processor/ 8GB LPDDR5/ 512GB/ 15.6"" (39.62cm) FHD 120Hz 250 nits Display/Windows 11 + MSO'21/15 Month McAfee Antivirus/Black Color/ 1.63kg",https://m.media-amazon.com/images/I/61l2ZxufhXL._AC_UY218_.jpg,4.1 out of 5 stars,"₹40,990"
67,"Acer Aspire Lite AMD Ryzen 7 5700U Premium Thin and Light Laptop (Windows 11 Home/16 GB RAM/1 TB SSD/MSO) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG",https://m.media-amazon.com/images/I/51KL3aOZ0tL._AC_UY218_.jpg,4.1 out of 5 stars,"₹46,990"
68,"Dell [Smartchoice 14 Thin & Light Laptop, Intel 12th Gen Core i5-1235U/8GB/512GB SSD/14.0"" (35.56cm) FHD/Intel UHD Graphics/Spill-Resistant Keyboard/Windows 11 + MSO'21/Black/15 Month McAfee, 1.48kg",https://m.media-amazon.com/images/I/81z8lpuKGHL._AC_UY218_.jpg,4.1 out of 5 stars,"₹46,490"
69,"HP OMEN Gaming Laptop, Intel Core i7-13700HX, 6GB RTX 3050 GPU, 16.1-inch (40.9 cm), 95W TGP, FHD, IPS, 165Hz, 300 nits, 16GB DDR5, 512GB SSD, RGB Backlit KB, B&O (MSO, Black, 2.32 kg), wf0179TX",https://m.media-amazon.com/images/I/71tS4CdaQ8L._AC_UY218_.jpg,4.1 out of 5 stars,"₹99,490"
70,"Dell Inspiron 7440 Thin & Light Laptop, AI Enabled Processor Intel Evo Powered Core Ultra 7 155H, 16GB LPDDR5X, 1TB SSD, 14"" (35.56cm) 2.2K 300nits, Win 11 + MSO'21, Backlit KB + FPR, Ice Blue, 1.24kg",https://m.media-amazon.com/images/I/61X8kWY5TYL._AC_UY218_.jpg,4.1 out of 5 stars,"₹99,490"
71,"HP Laptop 15, 13th Gen Intel Core i5-1334U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, Backlit KB, MSO, Dual speakers (Win 11, Silver, 1.59 kg), fd0221TU",https://m.media-amazon.com/images/I/71Ckr4dFaQL._AC_UY218_.jpg,4.1 out of 5 stars,"₹56,690"
72,"MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(8GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050, Cosmos Gray/1.86Kg), B12UCX-1696IN",https://m.media-amazon.com/images/I/71VG3azYMjL._AC_UY218_.jpg,4.1 out of 5 stars,"₹59,990"
73,"HP Laptop 15, 12th Gen i5-1235U, 15.6-inch (39.6 cm), FHD, Anti-glare, 8GB DDR4, 512GB SSD, Intel Iris Xᶱ Graphics, Backlit Keyboard, Dual Speakers, (Win 11, MSO 2021, Silver, 1.69 kg), 15s-fy5007TU",https://m.media-amazon.com/images/I/71pfbPqY-0L._AC_UY218_.jpg,4.1 out of 5 stars,"₹46,990"
74,"ZEBRONICS PRO Series Y NBC 2S, Intel Core 11th Gen i5 Processor 16GB RAM & 512GB SSD Laptop, 15.6 Inch (39.6 CM), IPS Display, Ultra Slim, 38.5Wh Large Battery, Windows 11, Silver, 1.76 Kg",https://m.media-amazon.com/images/I/71s2KUCAUsL._AC_UY218_.jpg,4.1 out of 5 stars,"₹29,990"
75,"MSI Modern 15, Intel 12th Gen. i3-1215U, 40CM FHD 60Hz Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Intel UHD Graphics/Classic Black/1.7Kg), B12M-612IN",https://m.media-amazon.com/images/I/613l2kLVCRL._AC_UY218_.jpg,4.1 out of 5 stars,"₹41,565"
76,"ASUS Vivobook 15 (2024), 15.6"" (39.62cm) FHD, Intel Core 3 Processor 100U, Thin & Light Laptop (8GB/512GB SSD/Win11/Office 2021/Quiet Blue/1.7 Kg), X1504VAP-NJ322WS",https://m.media-amazon.com/images/I/71vA8LCipnL._AC_UY218_.jpg,4.1 out of 5 stars,"₹49,990"
